"","ID_barrier","label_barrier","Instance_barrier","barrier_group","Instance_solution","ID_solution","label_solution","Category","Count_Always","Count_CC","Count_Never","Count_Total","Rel_Always","Rel_CC","Rel_Never","Relevance"
"1","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","change what i am going to do","COPPER:4008","review plan (other activity) BCT","review behavioral plan",9,6,3,18,0.5,0.33,0.17,"relevant"
"2","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","shorten the duration of the activity","COPPER:4007","shorten activity BCT","review behavioral plan",4,5,9,18,0.22,0.28,0.5,"irrelevant"
"3","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","do it at a different time today","COPPER:4005","adapt starting time BCT","review behavioral plan",8,4,6,18,0.44,0.22,0.33,"relevant"
"4","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","confirm that the gym / court / ... will be available","COPPER:4020","confirm facility availability BCT","review behavioral plan",17,1,0,18,0.94,0.06,0,"relevant"
"5","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","remind myself of the positive effects doing this will have on my physical health","COPPER:4037","increase salience of health consequences BCT","social support, information and awareness",9,1,7,17,0.53,0.06,0.41,"irrelevant"
"6","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","confirm with the other(s) that they will join","COPPER:4021","confirm others' commitment BCT","review behavioral plan",3,5,10,18,0.17,0.28,0.56,"irrelevant"
"7","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","take a different path","COPPER:4012","take a path that is not dark if possible","review behavioral plan",4,8,6,18,0.22,0.44,0.33,"relevant"
"8","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","do it somewhere else","COPPER:4010","review plan (other location) BCT","review behavioral plan",12,5,1,18,0.67,0.28,0.06,"relevant"
"9","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","do it indoors instead","COPPER:4011","move indoors","review behavioral plan",5,6,7,18,0.28,0.33,0.39,"relevant"
"10","COPPER:3009","access to facilities","no access to workout/ sports facilities (gym, court, ...)","Behavioral opportunity","find someone to help me with those practical barriers","BCIO:007030","advise to seek instrumental support BCT","social support, information and awareness",5,7,6,18,0.28,0.39,0.33,"relevant"
"11","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","do it indoors instead","COPPER:4011","move indoors","review behavioral plan",5,6,5,16,0.31,0.38,0.31,"irrelevant"
"12","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","make sure to get enough sleep before the activity","COPPER:4049","appropriate sleep BCT","prepare for activity",5,3,8,16,0.31,0.19,0.5,"irrelevant"
"13","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","find someone to provide you with instructions for the behaviour online, for example in a video or text","COPPER:4030","advice to seek instructions for the behaviour online","social support, information and awareness",3,3,10,16,0.19,0.19,0.62,"irrelevant"
"14","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","call someone while doing the activity","BCIO:007016","advise goal integration","goal directed BCT",0,1,15,16,0,0.06,0.94,"irrelevant"
"15","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","change what i am going to do","COPPER:4008","review plan (other activity) BCT","review behavioral plan",9,6,1,16,0.56,0.38,0.06,"relevant"
"16","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","think about how i will feel tonight if i haven't managed to do this","BCIO:007067","induce anticipated regret BCT","social support, information and awareness",4,3,9,16,0.25,0.19,0.56,"irrelevant"
"17","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","find someone to provide you with the needed information, either online or offline","BCIO:007032","advise to seek informational support BCT","social support, information and awareness",5,2,9,16,0.31,0.12,0.56,"irrelevant"
"18","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","set suitable clothing ready to use","COPPER:4026","prepare suitable clothing BCT","prepare for activity",6,5,5,16,0.38,0.31,0.31,"relevant"
"19","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","set my material or equipment ready to use","COPPER:4025","prepare required material BCT","prepare for activity",11,3,2,16,0.69,0.19,0.12,"relevant"
"20","COPPER:3013","access to materials","no access to required materials (bike, workout equipment, ...)","Behavioral opportunity","find someone to help me with those practical barriers","BCIO:007030","advise to seek instrumental support BCT","social support, information and awareness",10,3,3,16,0.62,0.19,0.19,"relevant"
"21","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","shorten the duration of the activity","COPPER:4007","shorten activity BCT","review behavioral plan",3,6,12,21,0.14,0.29,0.57,"irrelevant"
"22","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","take a different path","COPPER:4012","take a path that is not dark if possible","review behavioral plan",10,6,5,21,0.48,0.29,0.24,"relevant"
"23","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","tell myself that you can do this, and think about why","BCIO:007137","persuade about personal capability BCT","goal directed BCT",8,1,12,21,0.38,0.05,0.57,"irrelevant"
"24","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","do it somewhere else","COPPER:4010","review plan (other location) BCT","review behavioral plan",13,5,3,21,0.62,0.24,0.14,"relevant"
"25","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","do it indoors instead","COPPER:4011","move indoors","review behavioral plan",3,13,5,21,0.14,0.62,0.24,"relevant"
"26","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","do it at a different time today","COPPER:4005","adapt starting time BCT","review behavioral plan",8,7,6,21,0.38,0.33,0.29,"relevant"
"27","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","find someone to help me with those practical barriers","BCIO:007030","advise to seek instrumental support BCT","social support, information and awareness",5,6,10,21,0.24,0.29,0.48,"relevant"
"28","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","take breaks whenever needed","COPPER:4042","advice to take breaks BCT","prepare for activity",5,3,13,21,0.24,0.14,0.62,"irrelevant"
"29","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","change what i am going to do","COPPER:4008","review plan (other activity) BCT","review behavioral plan",11,7,3,21,0.52,0.33,0.14,"relevant"
"30","COPPER:3010","access to space","no access to sufficient space","Behavioral opportunity","ask other people if they want to join","COPPER:4014","add company BCT","review behavioral plan",3,2,16,21,0.14,0.1,0.76,"irrelevant"
"31","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","change what i am going to do","COPPER:4008","review plan (other activity) BCT","review behavioral plan",7,7,5,19,0.37,0.37,0.26,"relevant"
"32","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","plan how to get there","COPPER:4019","plan transport BCT","review behavioral plan",16,3,0,19,0.84,0.16,0,"relevant"
"33","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","do it somewhere else","COPPER:4010","review plan (other location) BCT","review behavioral plan",10,6,3,19,0.53,0.32,0.16,"relevant"
"34","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","do it at a different time today","COPPER:4005","adapt starting time BCT","review behavioral plan",9,6,4,19,0.47,0.32,0.21,"relevant"
"35","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","do it indoors instead","COPPER:4011","move indoors","review behavioral plan",5,7,7,19,0.26,0.37,0.37,"relevant"
"36","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","plan when i have to leave to have enough time","COPPER:4018","plan departure BCT","review behavioral plan",11,3,4,18,0.61,0.17,0.22,"relevant"
"37","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","start my day early enough to have time for the activity","COPPER:4017","start day early BCT","review behavioral plan",11,4,4,19,0.58,0.21,0.21,"relevant"
"38","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","change the intensity of the activity","COPPER:4009","adapt intensity BCT","review behavioral plan",5,1,13,19,0.26,0.05,0.68,"irrelevant"
"39","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","find someone to help me with those practical barriers","BCIO:007030","advise to seek instrumental support BCT","social support, information and awareness",9,7,3,19,0.47,0.37,0.16,"relevant"
"40","COPPER:3011","access to transportation","no access to transportation","Behavioral opportunity","take a different path","COPPER:4012","take a path that is not dark if possible","review behavioral plan",8,5,6,19,0.42,0.26,0.32,"relevant"
"41","COPPER:3040","back pain","back pain","Bodily and affective feelings","divide the activity into shorter parts","COPPER:4006","divide activity BCT","review behavioral plan",8,11,2,21,0.38,0.52,0.1,"relevant"
"42","COPPER:3040","back pain","back pain","Bodily and affective feelings","find someone who supports me in this, either online or offline, e.g. by encouraging me.","BCIO:007031","advise to seek emotional support BCT","social support, information and awareness",5,4,12,21,0.24,0.19,0.57,"relevant"
"43","COPPER:3040","back pain","back pain","Bodily and affective feelings","change the intensity of the activity","COPPER:4009","adapt intensity BCT","review behavioral plan",18,1,0,19,0.95,0.05,0,"relevant"
"44","COPPER:3040","back pain","back pain","Bodily and affective feelings","make sure to be visible","COPPER:4024","make self visible BCT","prepare for activity",2,4,13,19,0.11,0.21,0.68,"irrelevant"
"45","COPPER:3040","back pain","back pain","Bodily and affective feelings","learn about the risks of not doing the behaviour","COPPER:4035","inform about health risks BCT","social support, information and awareness",9,2,9,20,0.45,0.1,0.45,"relevant"
"46","COPPER:3040","back pain","back pain","Bodily and affective feelings","put the material i will need within my sight as a visible reminder","COPPER:4034","introduce visible material BCT","prepare for activity",4,4,12,20,0.2,0.2,0.6,"irrelevant"
"47","COPPER:3040","back pain","back pain","Bodily and affective feelings","set an alarm","COPPER:4032","set alarm BCT","prepare for activity",4,7,10,21,0.19,0.33,0.48,"irrelevant"
"48","COPPER:3040","back pain","back pain","Bodily and affective feelings","keep track of my activity","BCIO:007017","monitoring BCT","goal directed BCT",14,1,6,21,0.67,0.05,0.29,"irrelevant"
"49","COPPER:3040","back pain","back pain","Bodily and affective feelings","set suitable clothing ready to use","COPPER:4026","prepare suitable clothing BCT","prepare for activity",5,4,12,21,0.24,0.19,0.57,"relevant"
"50","COPPER:3040","back pain","back pain","Bodily and affective feelings","set my material or equipment ready to use","COPPER:4025","prepare required material BCT","prepare for activity",3,6,10,19,0.16,0.32,0.53,"relevant"
"51","COPPER:3040","back pain","back pain","Bodily and affective feelings","take pictures during the activity","COPPER:4002","plan inclusion of taking pictures BCT","goal directed BCT",3,2,16,21,0.14,0.1,0.76,"relevant"
"52","COPPER:3040","back pain","back pain","Bodily and affective feelings","look up inspirational content, such as videos or posts, online","COPPER:4050","advise to use motivational content","goal directed BCT",5,7,9,21,0.24,0.33,0.43,"relevant"
"53","COPPER:3040","back pain","back pain","Bodily and affective feelings","learn about the consequences this will have on my health","BCIO:007063","inform about health consequences BCT","social support, information and awareness",14,2,4,20,0.7,0.1,0.2,"relevant"
"54","COPPER:3040","back pain","back pain","Bodily and affective feelings","call someone while doing the activity","BCIO:007016","advise goal integration","goal directed BCT",0,6,13,19,0,0.32,0.68,"relevant"
"55","COPPER:3040","back pain","back pain","Bodily and affective feelings","find social support in a pet","COPPER:4027","advise to seek emotional support from a pet BCT","social support, information and awareness",2,2,17,21,0.1,0.1,0.81,"relevant"
"56","COPPER:3040","back pain","back pain","Bodily and affective feelings","make a commitment to myself to do this no matter what comes in my way!","COPPER:4003","affirm commitment despite barriers BCT","goal directed BCT",6,4,9,19,0.32,0.21,0.47,"relevant"
